type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information,source_file
Remazol Brilliant Blue R,Ceriporiopsis subvermispora,50 mg L−1,not specified,shaking,30 °C,14 h,4.5,60%,mycelium,extent of decolorization after 14 h,Induction+of+ligninolytic+enzyme+production+by+Dichomitus+squalens+on+various+types+of+immobilization+support_.txt
Copper(II) phthalocyanine,Ceriporiopsis subvermispora,50 mg L−1,not specified,shaking,30 °C,14 h,4.5,60%,mycelium,extent of decolorization after 14 h,Induction+of+ligninolytic+enzyme+production+by+Dichomitus+squalens+on+various+types+of+immobilization+support_.txt
Remazol Brilliant Blue R,Melanocarpus albomyces,0.04% (w/v),Not specified,Shaking,30 °C,1 week,Not specified,Positive reaction indicated by clear color change,Fungal mass,Screened for various laccase producing fungi,Fed+Batch+Experiment+for+Laccase+Production_.txt
Guaiacol,Melanocarpus albomyces,0.01% (w/v),Not specified,Shaking,30 °C,1 week,Not specified,Positive reaction indicated by reddish-brown halo,Fungal mass,Confirmatory tests of laccase production,Fed+Batch+Experiment+for+Laccase+Production_.txt
"2,6-Dimethoxyphenol",Melanocarpus albomyces,Not specified,Not specified,Shaking,30 °C,Not specified,Not specified,Not specified,Fungal mass,Used as substrate for laccase activity measurements,Fed+Batch+Experiment+for+Laccase+Production_.txt
"2,2'-azinobis-(3-ethylbenzthiazoline-6-sulphonate)",Melanocarpus albomyces,5 mM,Not specified,Not specified,25 °C,Not specified,4.5,High specific activity indicating effective substrate oxidation,Not specified,Active at pH 4.5 based on initial activity measurements,Fed+Batch+Experiment+for+Laccase+Production_.txt
Guaiacol,Melanocarpus albomyces,1.5 mM,Not specified,Not specified,50 °C,Not specified,6,Retention of activity at elevated temperatures,Not specified,Thermostability tested against various temperatures,Fed+Batch+Experiment+for+Laccase+Production_.txt
Not applicable,Melanocarpus albomyces,Not applicable,Not specified,Not specified,Not specified,Not specified,Not specified,,Not applicable,"Recombinant laccase was produced in T. reesei, yielded 920 mg/l",Fed+Batch+Experiment+for+Laccase+Production_.txt
Methyl orange,Pleurotus ostreatus,6.8 mg/L,unknown,shaking,30°C,24h,4.5,30.86%,whole fungi,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt
Methyl orange,Pleurotus ostreatus,6.8 mg/L,unknown,shaking,30°C,48h,4.5,35.17%,whole fungi,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt
Methyl orange,Pleurotus ostreatus,6.8 mg/L,unknown,shaking,30°C,72h,4.5,44.29%,whole fungi,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt
Acid fast red,Pleurotus ostreatus,67 mg/L,unknown,shaking,30°C,24h,4.5,24.86%,whole fungi,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt
Acid fast red,Pleurotus ostreatus,67 mg/L,unknown,shaking,30°C,48h,4.5,30.89%,whole fungi,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt
Acid fast red,Pleurotus ostreatus,67 mg/L,unknown,shaking,30°C,72h,4.5,50.33%,whole fungi,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt
Reactive black 5,Pleurotus ostreatus,100 mg/L,unknown,shaking,30°C,24h,4.5,78.27%,whole fungi,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt
Reactive black 5,Pleurotus ostreatus,100 mg/L,unknown,shaking,30°C,48h,4.5,84.37%,whole fungi,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt
Reactive black 5,Pleurotus ostreatus,100 mg/L,unknown,shaking,30°C,72h,4.5,89.56%,whole fungi,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt
Congo red,Pleurotus ostreatus,20 mg/L,unknown,shaking,30°C,24h,4.5,88.16%,whole fungi,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt
Congo red,Pleurotus ostreatus,20 mg/L,unknown,shaking,30°C,48h,4.5,89.40%,whole fungi,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt
Congo red,Pleurotus ostreatus,20 mg/L,unknown,shaking,30°C,72h,4.5,91.52%,whole fungi,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,unknown,shaking,30°C,24h,4.5,88.16%,whole fungi,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,unknown,shaking,30°C,48h,4.5,89.40%,whole fungi,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,unknown,shaking,30°C,72h,4.5,91.52%,whole fungi,,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt
Reactive blue 19,Trametes versicolor,0.036 mM,,shaking,23°C,4 months,5,97.50%,,Ethanolamine treatment reduced dye adsorption.,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt
ABTS,Trametes versicolor,0.5 mM,0.274 nM laccase,shaking,22°C,,5,,,"Oxidation following Michaelis-Menten kinetics, Merpol had little effect.",Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt
Reactive blue 19,Trametes versicolor,0.036 mM,120 nM laccase,recirculation,22°C,approx. 24 h,4,Optimal at pH 4,,Inhibited by sodium chloride during decolorization.,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt
Dispersed blue 3,Trametes versicolor,0.072 mM,120 nM laccase,recirculation,22°C,approx. 24 h,4,Higher decolorization efficiency,,Azo and indigoid dyes were found to be more toxic than anthraquinone dyes.,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt
Acid blue 74,Trametes versicolor,0.036 mM,120 nM laccase,recirculation,22°C,approx. 24 h,4,80% decolorized,,Most toxic before decolorization.,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt
Acid red 27,Trametes versicolor,0.036 mM,120 nM laccase,recirculation,22°C,approx. 24 h,4,67% decolorized,,More toxic than before treatment.,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt
Reactive black 5,Trametes versicolor,0.036 mM,120 nM laccase,recirculation,22°C,approx. 24 h,4,16.5% decolorized,,Most toxic and highly inhibited enzyme activity.,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt
Merpol,Trametes versicolor,0.036 mM,120 nM laccase,recirculation,22°C,approx. 24 h,5,Inhibition observed with increasing concentration.,,Increased the KM for ABTS but did not significantly affect the oxidation.,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt
ABTS,Trametes versicolor,,0.274 nM laccase,,22°C,,5,Kinetics show hyperbolic non-competitive inhibition.,,Pathway dependent on substrate binding.,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt
ENR,Trametes versicolor,50 mg L−1,6 U mL−1,shaking,45 °C,6 h,5,80.66%,whole fungi,No removal detected in negative controls.,Catalytic+behavior+and+detoxifying+ability+of+an+atypical+homotrimeric+laccase+from+the+thermophilic+strain+Scytalidium+thermophilum+on+selected+azo+and+triarylmethane+dyes_.txt
FLU,Trametes versicolor,50 mg L−1,6 U mL−1,shaking,45 °C,6 h,4.5,72.33%,whole fungi,No removal detected in negative controls.,Catalytic+behavior+and+detoxifying+ability+of+an+atypical+homotrimeric+laccase+from+the+thermophilic+strain+Scytalidium+thermophilum+on+selected+azo+and+triarylmethane+dyes_.txt
ENR,Trametes versicolor,50 mg L−1,6 U mL−1,shaking,30 °C,6 h,5,75.50%,whole fungi,Highest removal at this temperature.,Catalytic+behavior+and+detoxifying+ability+of+an+atypical+homotrimeric+laccase+from+the+thermophilic+strain+Scytalidium+thermophilum+on+selected+azo+and+triarylmethane+dyes_.txt
ENR,Trametes versicolor,50 mg L−1,6 U mL−1,shaking,55 °C,6 h,5,75%,whole fungi,Significant decrease in removal efficiency.,Catalytic+behavior+and+detoxifying+ability+of+an+atypical+homotrimeric+laccase+from+the+thermophilic+strain+Scytalidium+thermophilum+on+selected+azo+and+triarylmethane+dyes_.txt
FLU,Trametes versicolor,50 mg L−1,6 U mL−1,shaking,30 °C,6 h,4.5,68%,whole fungi,Highest removal at this temperature.,Catalytic+behavior+and+detoxifying+ability+of+an+atypical+homotrimeric+laccase+from+the+thermophilic+strain+Scytalidium+thermophilum+on+selected+azo+and+triarylmethane+dyes_.txt
ENR,Trametes versicolor,50 mg L−1,6 U mL−1,shaking,45 °C,6 h,3.5,41%,whole fungi,Maximal removal efficiency occurs above pH 3.5.,Catalytic+behavior+and+detoxifying+ability+of+an+atypical+homotrimeric+laccase+from+the+thermophilic+strain+Scytalidium+thermophilum+on+selected+azo+and+triarylmethane+dyes_.txt
FLU,Trametes versicolor,50 mg L−1,6 U mL−1,shaking,45 °C,6 h,4.5,70%,whole fungi,Maximal removal efficiency occurs at this pH.,Catalytic+behavior+and+detoxifying+ability+of+an+atypical+homotrimeric+laccase+from+the+thermophilic+strain+Scytalidium+thermophilum+on+selected+azo+and+triarylmethane+dyes_.txt
ENR,Trametes versicolor,50 mg L−1,6 U mL−1 of mediators,shaking,45 °C,6 h,5,90%,whole fungi,Significantly increased with presence of HBT.,Catalytic+behavior+and+detoxifying+ability+of+an+atypical+homotrimeric+laccase+from+the+thermophilic+strain+Scytalidium+thermophilum+on+selected+azo+and+triarylmethane+dyes_.txt
FLU,Trametes versicolor,50 mg L−1,6 U mL−1 of mediators,shaking,45 °C,6 h,4.5,96%,whole fungi,Significantly increased with presence of HBT.,Catalytic+behavior+and+detoxifying+ability+of+an+atypical+homotrimeric+laccase+from+the+thermophilic+strain+Scytalidium+thermophilum+on+selected+azo+and+triarylmethane+dyes_.txt
ENR,Trametes versicolor,50 mg L−1,6 U mL−1 of mediators,shaking,45 °C,15 cycles,5,46.22%,whole fungi,Reusability showed decline.,Catalytic+behavior+and+detoxifying+ability+of+an+atypical+homotrimeric+laccase+from+the+thermophilic+strain+Scytalidium+thermophilum+on+selected+azo+and+triarylmethane+dyes_.txt
FLU,Trametes versicolor,50 mg L−1,6 U mL−1 of mediators,shaking,45 °C,15 cycles,4.5,38.88%,whole fungi,Reusability showed decline.,Catalytic+behavior+and+detoxifying+ability+of+an+atypical+homotrimeric+laccase+from+the+thermophilic+strain+Scytalidium+thermophilum+on+selected+azo+and+triarylmethane+dyes_.txt
azo dye,Pyricularia oryzae,not specified,not specified,not specified,not specified,not specified,not specified,cleavage of the dye molecules,,electron-rich portion of the dye is the target of laccase action,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt
azo dye,Trametes villosa,not specified,not specified,not specified,not specified,not specified,not specified,substantial polymerization of degradation products,,degradation products retain the azo group,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt
azo dye,Bacillus subtilis (CotA laccase),not specified,not specified,not specified,not specified,not specified,not specified,efficiently degrade the majority of the tested dyes,,Reactive Yellow 81 was not degraded,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt
azo dye (Sudan Orange G),Bacillus subtilis (CotA laccase),not specified,not specified,not specified,not specified,not specified,not specified,"leads to hydroxy-p-benzoquinone, benzene, phenol",,degradation mechanism debated,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt
anthraquinone dye,Pleurotus ostreatus,not specified,not specified,not specified,not specified,not specified,not specified,more efficient in bleaching than Phanerochaete chrysosporium,,efficiency dropped when culture filtrate was separated from hyphae,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt
triphenylmethane dye (bromophenol blue),Trametes versicolor,not specified,not specified,not specified,not specified,not specified,not specified,bleached,,acid ones were quickly decolorized,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt
phthalocyanine dye,Aspergillus ochraceus NCIM-1146,not specified,not specified,not specified,not specified,not specified,not specified,adsorbed and bleached,,laccase accompanied by lignin peroxidase,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt
orange G,Daldenia concentrica,50 µM,105 spores/ml,shaking,30°C,12 days,6.5,35.88%,mycelium,Mycelial dry weight was 56 mg,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt
orange G,Lepiota sp.,50 µM,105 spores/ml,shaking,30°C,12 days,6.5,43.00%,mycelium,Mycelial dry weight was 55 mg,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt
orange G,Trametes serialis,50 µM,105 spores/ml,shaking,30°C,12 days,6.5,32.00%,mycelium,Mycelial dry weight was 51 mg,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt
methyl orange,Daldenia concentrica,50 µM,105 spores/ml,shaking,30°C,8 days,6.5,60.00%,mycelium,Mycelial dry weight increased from 47 mg to 54 mg,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt
methyl orange,Lepiota sp.,50 µM,105 spores/ml,shaking,30°C,16 days,6.5,58.65%,mycelium,Mycelial dry weight was 56 mg,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt
methyl orange,Trametes serialis,50 µM,105 spores/ml,shaking,30°C,8 days,6.5,53.28%,mycelium,Mycelial dry weight was 54 mg,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt
congo red,Daldenia concentrica,50 µM,105 spores/ml,shaking,30°C,8 days,6.5,91.54%,mycelium,Mycelial dry weight was 60 mg,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt
congo red,Lepiota sp.,50 µM,105 spores/ml,shaking,30°C,8 days,6.5,90.07%,mycelium,Mycelial dry weight was 56 mg,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt
congo red,Trametes serialis,50 µM,105 spores/ml,shaking,30°C,8 days,6.5,95.48%,mycelium,Mycelial dry weight was 54 mg,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt
textile industry effluent,Daldenia concentrica,variable,105 spores/ml,batch mode,39°C,7 days,not specified,84.52%,mycelium,Color removal assessed at 490 nm,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt
textile industry effluent,Lepiota sp.,variable,105 spores/ml,batch mode,39°C,7 days,not specified,66.67%,mycelium,Color removal assessed at 490 nm,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt
textile industry effluent,Trametes serialis,variable,105 spores/ml,batch mode,39°C,7 days,not specified,89.28%,mycelium,Color removal assessed at 490 nm,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt
textile industry effluent,Lepiota sp.,variable,105 spores/ml,continuous mode,39°C,7 days,not specified,55.95%,mycelium,Color removal assessed at 490 nm,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt
textile industry effluent,Daldenia concentrica,variable,105 spores/ml,continuous mode,39°C,5 days,not specified,52.38%,mycelium,Color removal assessed at 490 nm,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt
textile industry effluent,Trametes serialis,variable,105 spores/ml,continuous mode,39°C,5 days,not specified,54.76%,mycelium,Color removal assessed at 490 nm,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt
Reactive Blue 21,Pleurotus eryngii,50 mg/L,,150 rpm,30°C,10 days,,98.40%,whole fungi,Control was performed with un-inoculated media.,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt
Reactive Blue 21,Immobilized Pleurotus eryngii,50 mg/L,,150 rpm,30°C,"various (4, 6, 8, 24, 48, 72 and 96 hours)",,83.50%,mycellium,Immobilized on sugar cane waste.,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt
Reactive Blue 21,Free Pleurotus eryngii,50 mg/L,,,30°C,,,50.80%,whole fungi,Control performed with un-inoculated media.,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt
Reactive Yellow 160,Pleurotus eryngii,50 mg/L,,,,,,96.80%,whole fungi,Observed on liquid medium.,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt
Orange 122,Pleurotus eryngii,50 mg/L,,,,,,97.10%,whole fungi,Observed on liquid medium.,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt
Direct Congo Red,Pleurotus eryngii,50 mg/L,,,,,,97.80%,whole fungi,Observed on liquid medium.,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt
Direct Yellow 5G,Pleurotus eryngii,50 mg/L,,,,,,76%,whole fungi,Observed on liquid medium.,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt
Acid Methyl Orange,Pleurotus eryngii,50 mg/L,,,,,,61.10%,whole fungi,Observed on liquid medium.,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt
Acid Eriochrome Black T,Pleurotus eryngii,50 mg/L,,,,,,96.90%,whole fungi,Observed on liquid medium.,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt
Textile Effluent,Immobilized Pleurotus eryngii,,,,,,10,96%,mycellium,Also achieved 85-90% reduction in BOD and COD.,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt
Textile Effluent,Immobilized Pleurotus eryngii,,,,,,,max 90% for various nutrients,mycellium,"Parameters included TSS, TDS, EC.",Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt
RBBR,Pleurotus pulmonarius,200 ppm,,static,28 °C,10 days,,Complete,mycelium,,Decolourization+of+synthetic+dyes+by+solid+state+cultures+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt
Congo red,Pleurotus pulmonarius,200 ppm,,static,28 °C,10 days,,"Partial (60% moisture: 22.0%, 85% moisture: 47.3%)",mycelium,,Decolourization+of+synthetic+dyes+by+solid+state+cultures+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt
methylene blue,Pleurotus pulmonarius,200 ppm,,static,28 °C,10 days,,"Partial (60% moisture: 52.1%, 85% moisture: 67.9%)",mycelium,,Decolourization+of+synthetic+dyes+by+solid+state+cultures+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt
ethyl violet,Pleurotus pulmonarius,200 ppm,,static,28 °C,10 days,,"Partial (60% moisture: 39.5%, 85% moisture: 62.5%)",mycelium,,Decolourization+of+synthetic+dyes+by+solid+state+cultures+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt
poly R478,Pleurotus pulmonarius,200 ppm,,static,28 °C,10 days,,"Partial (60% moisture: 67.8%, 85% moisture: 81.8%)",mycelium,,Decolourization+of+synthetic+dyes+by+solid+state+cultures+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt
RBBR,Pleurotus pulmonarius,100 ppm,,rotary shaker,40 °C,2 hours,6.5,High efficiency,whole fungi,,Decolourization+of+synthetic+dyes+by+solid+state+cultures+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt
methylene blue,Pleurotus pulmonarius,100 ppm,,rotary shaker,40 °C,2 hours,4.5,High efficiency,whole fungi,,Decolourization+of+synthetic+dyes+by+solid+state+cultures+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt
Diamond Black PV 200,Trametes modesta,0.56 g L^-1,100 nkat mL^-1,stirring,room temperature (25 °C),3 hours (reaction time),5,decolorized to about 10% of the original signal,,Absorbance spectrum showed changes; final mixture had a brownish hue.,Phenolic+azo+dye+oxidation+by+laccase+from+Pyriculariaoryzae_.txt
Diamond Black PV 200,Trametes modesta,0.01 to 1.5 mM,varied with enzyme concentration,not specified,room temperature (25 °C),not specified,ranging from 3 to 7,dependent on pH; higher at pH 5,,Initial rates vs. dye concentration shown; dependence on pH was analyzed.,Phenolic+azo+dye+oxidation+by+laccase+from+Pyriculariaoryzae_.txt
3-Sulfophenyl-azo-dye,Trametes modesta,366.28 g mol^-1 (based on molecular weight calculation),not specified,not specified,not specified,not specified,4 to 5,less reactive than Diamond Black PV 200,,"Kinetic constants calculated, showed low reactivity.",Phenolic+azo+dye+oxidation+by+laccase+from+Pyriculariaoryzae_.txt
4-Sulfophenyl-azo-dye,Trametes modesta,366.28 g mol^-1,not specified,not specified,not specified,not specified,4 to 5,less reactive than Diamond Black PV 200,,Kinetic constants calculated.,Phenolic+azo+dye+oxidation+by+laccase+from+Pyriculariaoryzae_.txt
Naphthyl-azo-dye,Trametes modesta,417.34 g mol^-1,not specified,not specified,not specified,not specified,4 to 5,not effectively transformed,,Showed the lowest rates of transformation.,Phenolic+azo+dye+oxidation+by+laccase+from+Pyriculariaoryzae_.txt
Nitro-substituted azo-dye,Trametes modesta,411.26 g mol^-1,not specified,not specified,not specified,not specified,4 to 5,much lower transformation rates,,No enzymatic transformation observed at pHs below 4.,Phenolic+azo+dye+oxidation+by+laccase+from+Pyriculariaoryzae_.txt
ABTS,Kabatiella bupleuri G3,not specified,not specified,shaking,20°C,15 days,3.5,215 U/L,,,Screening+of+novel+laccase+producers-isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.txt
crystal violet,Kabatiella bupleuri G3,250 mg/L,not specified,not specified,30°C,60 min,3.5,40.4 ± 7.0%,,,Screening+of+novel+laccase+producers-isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.txt
alkaline fuchsin,Kabatiella bupleuri G3,250 mg/L,not specified,not specified,30°C,60 min,3.5,31.7 ± 3.3%,,,Screening+of+novel+laccase+producers-isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.txt
Coomassie Brilliant Blue R-250,Kabatiella bupleuri G3,250 mg/L,not specified,not specified,30°C,60 min,3.5,19.8 ± 5.8%,,,Screening+of+novel+laccase+producers-isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.txt
methylene blue,Kabatiella bupleuri G3,250 mg/L,not specified,not specified,30°C,60 min,3.5,18.2 ± 2.5%,,,Screening+of+novel+laccase+producers-isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.txt
Acid orange 7,P. chrysosporium 787,50 µM,105 spores/ml,shaking,30 °C,4 days,6.5,94.80%,,,Transformation+of+Indigo+carmine+by+Phanerochaete+chrysosporium+ligninolytic+enzymes_.txt
Acid orange 7,S. commune,50 µM,105 spores/ml,shaking,30 °C,4 days,6.5,96.70%,,,Transformation+of+Indigo+carmine+by+Phanerochaete+chrysosporium+ligninolytic+enzymes_.txt
Acid orange 7,L. eximia,50 µM,105 spores/ml,shaking,30 °C,4 days,6.5,95.50%,,,Transformation+of+Indigo+carmine+by+Phanerochaete+chrysosporium+ligninolytic+enzymes_.txt
Methyl red,P. chrysosporium 787,50 µM,105 spores/ml,shaking,30 °C,4 days,6.5,92.20%,,,Transformation+of+Indigo+carmine+by+Phanerochaete+chrysosporium+ligninolytic+enzymes_.txt
Methyl red,S. commune,50 µM,105 spores/ml,shaking,30 °C,4 days,6.5,98.50%,,,Transformation+of+Indigo+carmine+by+Phanerochaete+chrysosporium+ligninolytic+enzymes_.txt
Methyl red,L. eximia,50 µM,105 spores/ml,shaking,30 °C,4 days,6.5,96.00%,,,Transformation+of+Indigo+carmine+by+Phanerochaete+chrysosporium+ligninolytic+enzymes_.txt
Evans blue,P. chrysosporium 787,50 µM,105 spores/ml,shaking,30 °C,4 days,6.5,90.20%,,,Transformation+of+Indigo+carmine+by+Phanerochaete+chrysosporium+ligninolytic+enzymes_.txt
Evans blue,S. commune,50 µM,105 spores/ml,shaking,30 °C,4 days,6.5,97.40%,,,Transformation+of+Indigo+carmine+by+Phanerochaete+chrysosporium+ligninolytic+enzymes_.txt
Evans blue,L. eximia,50 µM,105 spores/ml,shaking,30 °C,4 days,6.5,95.50%,,,Transformation+of+Indigo+carmine+by+Phanerochaete+chrysosporium+ligninolytic+enzymes_.txt
4-(4'-sulfophenylazo)-phenol,Phanerochaete chrysosporium,50 pM,,shaking,25°C,10 min,6,Not stated,Whole fungi,Examined various substituted 4-(4'-sulfophenylazo)-phenol dyes.,Degradation+of+sulfonated+azo+dyes+and+sulfanilic+acid+by+Phanerochaete+chrysosporium+and+Streptomyces+chromofuscus_.txt
2-(4'-sulfophenylazo)-phenol,Phanerochaete chrysosporium,50 pM,,shaking,25°C,10 min,6,Not stated,Whole fungi,All tested 2-(4'-sulfophenylazo)-phenol dyes were poor substrates or non-substrates for peroxidases.,Degradation+of+sulfonated+azo+dyes+and+sulfanilic+acid+by+Phanerochaete+chrysosporium+and+Streptomyces+chromofuscus_.txt
Orange I,,10:00 PM,,shaking,25°C,15 min,3.5,up to 63%,,Reduction was monitored by following the decrease in absorbance.,Degradation+of+sulfonated+azo+dyes+and+sulfanilic+acid+by+Phanerochaete+chrysosporium+and+Streptomyces+chromofuscus_.txt
Orange II,,200 pM,,shaking,25°C,10 min,7,Complete loss of color,,Produced sulfanilic acid as a product.,Degradation+of+sulfonated+azo+dyes+and+sulfanilic+acid+by+Phanerochaete+chrysosporium+and+Streptomyces+chromofuscus_.txt
4-hydroxyazobenzene,,200 pM,,shaking,25°C,10 min,7,Not stated,,Analyzed by HPLC and GC-MS.,Degradation+of+sulfonated+azo+dyes+and+sulfanilic+acid+by+Phanerochaete+chrysosporium+and+Streptomyces+chromofuscus_.txt
Allura Red,,60 to 300 pM,,shaking,,Not stated,,Varies,,All tested azo dyes produced substituted anilines upon reduction by FeO.,Degradation+of+sulfonated+azo+dyes+and+sulfanilic+acid+by+Phanerochaete+chrysosporium+and+Streptomyces+chromofuscus_.txt
Sunset Yellow FCF,,60 to 300 pM,,shaking,,Not stated,,Varies,,All tested azo dyes produced substituted anilines upon reduction by FeO.,Degradation+of+sulfonated+azo+dyes+and+sulfanilic+acid+by+Phanerochaete+chrysosporium+and+Streptomyces+chromofuscus_.txt
Tartrazine,,60 to 300 pM,,shaking,,Not stated,,Varies,,All tested azo dyes produced substituted anilines upon reduction by FeO.,Degradation+of+sulfonated+azo+dyes+and+sulfanilic+acid+by+Phanerochaete+chrysosporium+and+Streptomyces+chromofuscus_.txt
Reactive blue,Polyporus rubidus,1000 mg/l,1 g (wet weight),shake flasks (150 rpm),28±2°C,5 days,not specified,"63% color remaining after 1 day, 46% after 3 days, 39% after 5 days",mycelium,Maximum laccase activity detected was 17.1 U/ml after 3 days.,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt
Reactive blue,Polyporus rubidus,400 mg/l,1 g (wet weight),shake flasks (150 rpm),28±2°C,5 days,not specified,20% color remaining after 5 days,mycelium,Mycelium was less efficient than immobilized enzyme.,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt
