temperature,duration,pH,source_file,type_of_dye,type_of_fungi,concentration_of_dye,concentration_of_fungi,method_of_agitation,decolorization_result,additional_information,fungal_form
37°C,60 min,6.5,Biodegradation+of+triphenylmethane+dyes+by+Aeromonas+hydrophila_.csv,Malachite Green,Amycolatopsis orientalis SY6,10 µg/ml,High density,Shaking,100%,Efficiency of decolorization observed,Mycelium
37°C,60 min,6.5,Biodegradation+of+triphenylmethane+dyes+by+Aeromonas+hydrophila_.csv,Amido Black,Amycolatopsis orientalis SY6,10 µg/ml,High density,Shaking,Significant reduction observed,Color change from blue to violet,Mycelium
37°C,60 min,6.5,Biodegradation+of+triphenylmethane+dyes+by+Aeromonas+hydrophila_.csv,Orange II,Amycolatopsis orientalis SY6,10 µg/ml,High density,Shaking,Observed,Not all dyes were effectively decolorized,Mycelium
37°C,60 min,6.5,Biodegradation+of+triphenylmethane+dyes+by+Aeromonas+hydrophila_.csv,Biebrich Scarlet,Amycolatopsis orientalis SY6,10 µg/ml,High density,Shaking,Observed,Not all strains effective,Mycelium
37°C,60 min,6.5,Biodegradation+of+triphenylmethane+dyes+by+Aeromonas+hydrophila_.csv,Congo Red,Amycolatopsis orientalis SY6,10 µg/ml,High density,Shaking,Observed,Results assessed through TLC,Mycelium
37°C,60 min,6.5,Biodegradation+of+triphenylmethane+dyes+by+Aeromonas+hydrophila_.csv,Multiple Dyes,Amycolatopsis orientalis SY6,Combination of triphenylmethane dyes (10 µg/ml each),High density,Shaking,Combined effective decolorization,Complete biodegradation with combined clones,Mycelium
not specified,not specified,not specified,Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.csv,methyl orange,moss,not specified,not specified,not specified,not specified,Equilibrium isotherms and kinetic parameters evaluated.,
not specified,not specified,not specified,Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.csv,methylene blue,moss,not specified,not specified,not specified,not specified,Comparative investigation on biosorption performances.,
not specified,not specified,not specified,Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.csv,acidic dye,algal mass,not specified,not specified,not specified,not specified,Adsorptive elimination from synthetic waste water.,
not specified,not specified,not specified,Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.csv,methylene blue,fungal mass,not specified,not specified,not specified,not specified,Kinetic and equilibrium studies.,
not specified,not specified,not specified,Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.csv,copper ions,fungal mass,not specified,not specified,not specified,not specified,Approach towards green chemistry.,
not specified,not specified,not specified,Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.csv,Alizarin Red-S,not specified,not specified,not specified,not specified,not specified,Adsorptive removal studied.,
not specified,not specified,not specified,Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.csv,hexavalent chromium,not specified,not specified,not specified,not specified,not specified,Pesticides removal from waste water.,
not specified,not specified,not specified,Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.csv,azo dye Acid blue 113,not specified,not specified,not specified,not specified,not specified,Comparative investigation on adsorption performances.,
not specified,not specified,not specified,Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.csv,hexavalent chromium,algal mass,not specified,not specified,not specified,not specified,Biosorption studies.,
not specified,not specified,not specified,Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.csv,lead(II),not specified,not specified,not specified,not specified,not specified,Comparative study conducted.,
not specified,not specified,not specified,Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.csv,copper(II),not specified,not specified,not specified,not specified,not specified,Biosorption from aqueous solutions.,
not specified,not specified,not specified,Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.csv,toxic heavy metal,not specified,not specified,not specified,not specified,not specified,Locally available algae studied.,
not specified,not specified,not specified,Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.csv,cadmium(II),not specified,not specified,not specified,not specified,not specified,Biosorption conducted.,
not specified,not specified,not specified,Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.csv,toxic heavy metals,not specified,not specified,not specified,not specified,not specified,Study on low-cost adsorbent.,
27 ºC,7 days,1.62,Declourization+of+Sulfonphtaleindyes+by+Manganese+Peroxidase+activity+of+the+White+%E2%80%93Rot+fungus+Phanerochaete+chrysoporium_.csv,Carpet dye,Aspergillus niger,5 ml,1 ml,shaking,99.7%,Maximum absorption recorded at 596 nm.,mycelium
27 ºC,7 days,1.4,Declourization+of+Sulfonphtaleindyes+by+Manganese+Peroxidase+activity+of+the+White+%E2%80%93Rot+fungus+Phanerochaete+chrysoporium_.csv,Carpet dye,Aspergillus niger,10 ml,1 ml,shaking,99.7%,Maximum absorption recorded at 596 nm.,mycelium
27 ºC,7 days,1.61,Declourization+of+Sulfonphtaleindyes+by+Manganese+Peroxidase+activity+of+the+White+%E2%80%93Rot+fungus+Phanerochaete+chrysoporium_.csv,Carpet dye,Aspergillus niger,20 ml,1 ml,shaking,99.7%,Maximum absorption recorded at 596 nm.,mycelium
27 ºC,7 days,1.6,Declourization+of+Sulfonphtaleindyes+by+Manganese+Peroxidase+activity+of+the+White+%E2%80%93Rot+fungus+Phanerochaete+chrysoporium_.csv,Carpet dye,Aspergillus niger,30 ml,1 ml,shaking,99.7%,Maximum absorption recorded at 596 nm.,mycelium
27 ºC,7 days,1.46,Declourization+of+Sulfonphtaleindyes+by+Manganese+Peroxidase+activity+of+the+White+%E2%80%93Rot+fungus+Phanerochaete+chrysoporium_.csv,Carpet dye,Aspergillus niger,40 ml,1 ml,shaking,99.7%,Maximum absorption recorded at 596 nm.,mycelium
,16 days,,Development+of+bioreactor+systems+for+decolorization+of+orange+II+using+white+rot+fungus_.csv,Cresylic effluent,Trametes versicolor,20% v/v,,ALR,Complete removal of targeted phenols,Highest total removal and rate of removal of toxic phenols yet reported.,Whole fungi
,12 hours,,Development+of+bioreactor+systems+for+decolorization+of+orange+II+using+white+rot+fungus_.csv,Phenol,Trametes versicolor,Unknown,,Flask culture,90% removal,Phenol behaved more recalcitrant than cresol isomers.,Whole fungi
,12 hours,,Development+of+bioreactor+systems+for+decolorization+of+orange+II+using+white+rot+fungus_.csv,p-cresol,Trametes versicolor,Unknown,,Flask culture,100% removal,,Whole fungi
,12 hours,,Development+of+bioreactor+systems+for+decolorization+of+orange+II+using+white+rot+fungus_.csv,m-cresol,Trametes versicolor,Unknown,,Flask culture,100% removal,,Whole fungi
,12 hours,,Development+of+bioreactor+systems+for+decolorization+of+orange+II+using+white+rot+fungus_.csv,o-cresol,Trametes versicolor,Unknown,,Flask culture,100% removal,,Whole fungi
,,,Development+of+bioreactor+systems+for+decolorization+of+orange+II+using+white+rot+fungus_.csv,p-cresol,Trametes pubescens,5%,,ALR,Complete removal,,Whole fungi
,,,Development+of+bioreactor+systems+for+decolorization+of+orange+II+using+white+rot+fungus_.csv,m-cresol,Trametes pubescens,5%,,ALR,Complete removal,,Whole fungi
,,,Development+of+bioreactor+systems+for+decolorization+of+orange+II+using+white+rot+fungus_.csv,o-cresol,Trametes pubescens,5%,,ALR,Complete removal,,Whole fungi
30°C,1 day,not specified,Decolouration+of+textile+dyes+by+fungal+pellets_.csv,Neolane yellow,Trametes trogii,50 mg l−1,not specified,not specified,18%,Without HBT,whole fungi
30°C,4 days,not specified,Decolouration+of+textile+dyes+by+fungal+pellets_.csv,Neolane yellow,Trametes trogii,50 mg l−1,not specified,not specified,39.6%,Without HBT,whole fungi
30°C,1 day,not specified,Decolouration+of+textile+dyes+by+fungal+pellets_.csv,Neolane yellow,Trametes trogii,50 mg l−1,not specified,not specified,100%,With HBT,whole fungi
30°C,4 days,not specified,Decolouration+of+textile+dyes+by+fungal+pellets_.csv,Neolane yellow,Trametes trogii,50 mg l−1,not specified,not specified,100%,With HBT,whole fungi
30°C,1 day,not specified,Decolouration+of+textile+dyes+by+fungal+pellets_.csv,Maxillon blue,Trametes trogii,50 mg l−1,not specified,not specified,0%,Without HBT,whole fungi
30°C,4 days,not specified,Decolouration+of+textile+dyes+by+fungal+pellets_.csv,Maxillon blue,Trametes trogii,50 mg l−1,not specified,not specified,0%,Without HBT,whole fungi
30°C,1 day,not specified,Decolouration+of+textile+dyes+by+fungal+pellets_.csv,Neolane pink,Trametes trogii,50 mg l−1,not specified,not specified,63.6%,,whole fungi
30°C,4 days,not specified,Decolouration+of+textile+dyes+by+fungal+pellets_.csv,Neolane pink,Trametes trogii,50 mg l−1,not specified,not specified,86.4%,,whole fungi
30°C,1 day,not specified,Decolouration+of+textile+dyes+by+fungal+pellets_.csv,Neolane blue,Trametes trogii,50 mg l−1,not specified,not specified,91.5%,,whole fungi
30°C,4 days,not specified,Decolouration+of+textile+dyes+by+fungal+pellets_.csv,Neolane blue,Trametes trogii,50 mg l−1,not specified,not specified,91.2%,,whole fungi
30°C,1 day,not specified,Decolouration+of+textile+dyes+by+fungal+pellets_.csv,Bezaktiv S-BF turquoise,Trametes trogii,50 mg l−1,not specified,not specified,54%,,whole fungi
30°C,4 days,not specified,Decolouration+of+textile+dyes+by+fungal+pellets_.csv,Bezaktiv S-BF turquoise,Trametes trogii,50 mg l−1,not specified,not specified,71%,,whole fungi
30°C,4 days,not specified,Decolouration+of+textile+dyes+by+fungal+pellets_.csv,Basacryl yellow,Trametes trogii,50 mg l−1,not specified,not specified,0%,,whole fungi
30°C,4 days,not specified,Decolouration+of+textile+dyes+by+fungal+pellets_.csv,Maxillon blue,Trametes trogii,50 mg l−1,not specified,not specified,0%,,whole fungi
37°C,6 hours,9,Degradation+of+acid+orange+7+in+an+aerobic+biofilm_.csv,Acid Black-24,Bacillus halodurans MTCC 865,1000 mg/l,10% inoculum (v/v),static,90%,"Decolorization measured spectrophotometrically at 557 nm, with significant changes in FTIR and HPLC results.",whole fungi
32°C,6 hours,9,Degradation+of+acid+orange+7+in+an+aerobic+biofilm_.csv,Acid Black-24,Bacillus halodurans MTCC 865,1000 mg/l,10% inoculum (v/v),static,unknown,Decolorization rate not specified.,whole fungi
40°C,6 hours,9,Degradation+of+acid+orange+7+in+an+aerobic+biofilm_.csv,Acid Black-24,Bacillus halodurans MTCC 865,1000 mg/l,10% inoculum (v/v),static,71%,Decolorization rate gradually decreased above optimal temperature.,whole fungi
45°C,6 hours,9,Degradation+of+acid+orange+7+in+an+aerobic+biofilm_.csv,Acid Black-24,Bacillus halodurans MTCC 865,1000 mg/l,10% inoculum (v/v),static,52%,Decolorization rate gradually decreased above optimal temperature.,whole fungi
50°C,6 hours,9,Degradation+of+acid+orange+7+in+an+aerobic+biofilm_.csv,Acid Black-24,Bacillus halodurans MTCC 865,1000 mg/l,10% inoculum (v/v),static,33%,Decolorization rate gradually decreased above optimal temperature.,whole fungi
55°C,6 hours,9,Degradation+of+acid+orange+7+in+an+aerobic+biofilm_.csv,Acid Black-24,Bacillus halodurans MTCC 865,1000 mg/l,10% inoculum (v/v),static,8%,Significant decrease in decolorization at high temperature.,whole fungi
37°C,6 hours,6,Degradation+of+acid+orange+7+in+an+aerobic+biofilm_.csv,Acid Black-24,Bacillus halodurans MTCC 865,1000 mg/l,10% inoculum (v/v),static,15%,Least decolorization at low pH.,whole fungi
37°C,6 hours,7,Degradation+of+acid+orange+7+in+an+aerobic+biofilm_.csv,Acid Black-24,Bacillus halodurans MTCC 865,1000 mg/l,10% inoculum (v/v),static,44%,Decolorization observed at moderate pH.,whole fungi
37°C,6 hours,8,Degradation+of+acid+orange+7+in+an+aerobic+biofilm_.csv,Acid Black-24,Bacillus halodurans MTCC 865,1000 mg/l,10% inoculum (v/v),static,58%,Decolorization rate varies with pH.,whole fungi
37°C,6 hours,10,Degradation+of+acid+orange+7+in+an+aerobic+biofilm_.csv,Acid Black-24,Bacillus halodurans MTCC 865,1000 mg/l,10% inoculum (v/v),static,50%,Optimal decolorization reached at certain pH.,whole fungi
37°C,6 hours,9,Degradation+of+acid+orange+7+in+an+aerobic+biofilm_.csv,Acid Black-24,Bacillus halodurans MTCC 865,1000 mg/l,10% inoculum (v/v),static,90%,Results confirmed with FTIR and HPLC.,whole fungi
room temperature,10 min,7.5,Purification+and+partial+characterization+of+two+azoreductases+from+Shigella+dysenteriae+Type+1_.csv,Methyl Red,Enterococcus faecalis,0.5 mM,Not specified,gentle shaking,zone of clearing observed,Protein band identified as AzoA using mass spectrometry.,whole fungi
25°C,2 min,7.2,Purification+and+partial+characterization+of+two+azoreductases+from+Shigella+dysenteriae+Type+1_.csv,Methyl Red,Enterococcus faecalis,20 µM,1-800 µg enzyme,not specified,Methyl Red reduced,"The reaction initiated by adding NADPH, absorbance at 430 nm measured.",whole fungi
not specified,not specified,not specified,Purification+and+partial+characterization+of+two+azoreductases+from+Shigella+dysenteriae+Type+1_.csv,Methyl Red,Enterococcus faecalis,20 µM,NADH concentration ranged from 10-80 µM,not specified,Relative kinetic parameters determined,Observed catalytic efficiency was reported.,whole fungi
27°C,14 days,unspecified,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static+and+agitated+cultures+of+Irpex+lacteus_.csv,Congo Red,Irpex lacteus KUC8958,0.1 g/L,5-mm diameter disc,shaking,95%,,mycelium
27°C,14 days,unspecified,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static+and+agitated+cultures+of+Irpex+lacteus_.csv,Congo Red,Irpex lacteus KUC8958,0.1 g/L,5-mm diameter disc,static,77%,,mycelium
27°C,14 days,unspecified,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static+and+agitated+cultures+of+Irpex+lacteus_.csv,Reactive Blue 4,Irpex lacteus KUC8958,0.1 g/L,5-mm diameter disc,shaking,95%,,mycelium
27°C,14 days,unspecified,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static+and+agitated+cultures+of+Irpex+lacteus_.csv,Reactive Blue 4,Irpex lacteus KUC8958,0.1 g/L,5-mm diameter disc,static,44%,,mycelium
27°C,14 days,unspecified,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static+and+agitated+cultures+of+Irpex+lacteus_.csv,Orange II,Irpex lacteus KUC8958,0.1 g/L,5-mm diameter disc,shaking,53%,,mycelium
27°C,14 days,unspecified,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static+and+agitated+cultures+of+Irpex+lacteus_.csv,Orange II,Irpex lacteus KUC8958,0.1 g/L,5-mm diameter disc,static,10%,,mycelium
30°C,10 min,3.5,Screening+of+novel+laccase+producers-isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.csv,ABTS,Kabatiella bupleuri,1.0 mM,,shaking,,First testing laccase activity,mycelium
30°C,1 h,3.5,Screening+of+novel+laccase+producers-isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.csv,Crystal violet,Kabatiella bupleuri,250 mg/L,,shaking,40.4 ± 7.0%,Used ABTS as a redox mediator,mycelium
30°C,1 h,3.5,Screening+of+novel+laccase+producers-isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.csv,Alkaline fuchsin,Kabatiella bupleuri,,,shaking,31.7 ± 3.3%,Used ABTS as a redox mediator,mycelium
30°C,1 h,3.5,Screening+of+novel+laccase+producers-isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.csv,Coomassie Brilliant Blue,Kabatiella bupleuri,,,shaking,19.8 ± 5.8%,Used ABTS as a redox mediator,mycelium
30°C,1 h,3.5,Screening+of+novel+laccase+producers-isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.csv,Methylene blue,Kabatiella bupleuri,,,shaking,18.2 ± 2.5%,Used ABTS as a redox mediator,mycelium
30°C,2 days,not specified,The+purification+and+characterization+of+an+Aeromonas+hydrophila+NAD%28P%29H+dependent+oxygenase_.csv,amido black,A. orientalis SY6,10 µg/ml,not specified,shaking,visible color change from blue to violet,Decolorization observed in liquid culture.,mycelial
30°C,<1 hour,not specified,The+purification+and+characterization+of+an+Aeromonas+hydrophila+NAD%28P%29H+dependent+oxygenase_.csv,brilliant green,A. orientalis SY6,10 µg/ml,not specified,shaking,decolorized to colorless derivatives,Fast decolorization rate.,mycelial
30°C,varied,not specified,The+purification+and+characterization+of+an+Aeromonas+hydrophila+NAD%28P%29H+dependent+oxygenase_.csv,crystal violet,A. orientalis SY6,30 µg/ml,not specified,shaking,struggled to mineralize the dye at high concentration,Decolorization monitored by TLC.,mycelial
30°C,60 min,not specified,The+purification+and+characterization+of+an+Aeromonas+hydrophila+NAD%28P%29H+dependent+oxygenase_.csv,crystal violet,Strain SY6,10 µg/ml,not specified,shaking,observed bands indicating significant decolorization,Thin layer chromatography used to analyze results.,mycelial
37°C,varied,not specified,The+purification+and+characterization+of+an+Aeromonas+hydrophila+NAD%28P%29H+dependent+oxygenase_.csv,mixed triphenylmethane dyes,Strain SY6,10 µg/ml each dye,not specified,shaking,highly effective decolorization,Decolorization of combined triphenylmethane dyes occurred effectively.,mycelial
30°C,varied,not specified,The+purification+and+characterization+of+an+Aeromonas+hydrophila+NAD%28P%29H+dependent+oxygenase_.csv,amido black,R. erythropolis,not specified,not specified,shaking,not capable of degrading amido black,Expression of pAM1 observed.,not applicable
37°C,3 days,not specified,The+purification+and+characterization+of+an+Aeromonas+hydrophila+NAD%28P%29H+dependent+oxygenase_.csv,multi-dye tests,SQ1CV clones,10 µg/ml,not specified,shaking,complete degradation of dyes observed,Combination of various clones showed significant decolorization.,not applicable
30°C,7 days,varied (3 to 7),HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.csv,Orange II,Pleurotus ostreatus,100 ppm,unknown,"static for 3 days, then shaking",90%,Concentration of buffer impacts decolorization.,fungal mass
30°C,7 days,varied (3 to 7),HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.csv,Acid Red 29,Pleurotus ostreatus,100 ppm,unknown,"static for 3 days, then shaking",90%,Initial pH and buffer concentration affect decolorization rates.,fungal mass
30°C,7 days,varied (3 to 7),HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.csv,Remazol Brilliant Blue R,Pleurotus ostreatus,100 ppm,unknown,"static for 3 days, then shaking",70%,Buffer concentration significantly influences decolorization.,fungal mass
30°C,7 days,5,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.csv,Disperse Red 1,Pleurotus ostreatus,"varied (50 ppm, 100 ppm, 200 ppm)",unknown,shaking,80-100% depending on concentration,"Primary degradation products identified: nitrobenzene, 4-nitrophenol, 4-nitroaniline.",fungal mass
30°C,7 days,5,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.csv,Disperse Red 19,Pleurotus ostreatus,"varied (50 ppm, 100 ppm, 200 ppm)",unknown,shaking,80-90%,Similar primary products to Disperse Red 1.,fungal mass
30°C,7 days,5,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.csv,Disperse Orange 1,Pleurotus ostreatus,"varied (50 ppm, 100 ppm)",unknown,shaking,80-90%,Degradation products included nitrobenzene and 4-nitrophenol.,fungal mass
30°C,7 days,5,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.csv,Disperse Orange 25,Pleurotus ostreatus,"varied (50 ppm, 100 ppm)",unknown,shaking,80-90%,"Confirmed production of nitrobenzene, 4-nitrophenol, and 4-nitroanisole.",fungal mass
30°C,7 days,5,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.csv,Disperse Red 13,Pleurotus ostreatus,varied (50 ppm),unknown,shaking,80-90%,Produced 1-chloro-3-nitrobenzene.,fungal mass
35 °C,24 h,8,Decolorization+and+detoxification+of+textile+dyes_.csv,Acid Orange 63,Streptomyces ipomoeae,50 mM,0.4 U/mL,,3.76 ± 0.71%,Decay in absorbance measured at 418 nm,whole fungi
60 °C,24 h,8,Decolorization+and+detoxification+of+textile+dyes_.csv,Acid Orange 63,Streptomyces ipomoeae,50 mM,0.4 U/mL,,70-fold increase with 0.5 mM MeS,Significant increase in decolorization with mediator concentration.,whole fungi
35 °C,24 h,8,Decolorization+and+detoxification+of+textile+dyes_.csv,Tartrazine,Streptomyces ipomoeae,50 mM,0.4 U/mL,,19.22 ± 0.20%,Decay in absorbance measured at 425 nm,whole fungi
60 °C,24 h,8,Decolorization+and+detoxification+of+textile+dyes_.csv,Tartrazine,Streptomyces ipomoeae,50 mM,0.4 U/mL,,36-fold decrease in toxicity with MeS,High temperature significantly increased degradation.,whole fungi
35 °C,24 h,8,Decolorization+and+detoxification+of+textile+dyes_.csv,Reactive Black 5,Streptomyces ipomoeae,50 mM,0.4 U/mL,,90.82 ± 0.18%,Significant increase with AS mediator,whole fungi
60 °C,24 h,8,Decolorization+and+detoxification+of+textile+dyes_.csv,Reactive Black 5,Streptomyces ipomoeae,50 mM,0.4 U/mL,,94.11 ± 1.35%,Highest decolorization observed with methyl syringate.,whole fungi
30°C,7 days,5.0,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.csv,kraft pulp bleaching effluent,Geotrichum candidum Dec 1,30 g/l,not specified,shaking,78%,Reduction of absorbable organic halogens was 43%.,mycelium
30°C,6 days,5.0,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.csv,kraft pulp bleaching effluent,Geotrichum candidum Dec 1,20 g/l,not specified,shaking,78%,,mycelium
30°C,3 days,5.0,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.csv,kraft pulp bleaching effluent,Geotrichum candidum Dec 1,5 g/l,not specified,shaking,47%,Color removal decreased to 0 after 4 days.,mycelium
30°C,4 days,5.0,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.csv,kraft pulp bleaching effluent,Geotrichum candidum Dec 1,10 g/l,not specified,shaking,color adsorption to cells led to 71% removal,,mycelium
30°C,10 days,5.0,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.csv,kraft pulp bleaching effluent,Geotrichum candidum Dec 1,30 g/l,not specified,shaking,color removal maintained >70% after 4 days,Pellet color increased with incubation.,mycelium
30°C,14 days,not specified,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.csv,commercial lignin,Geotrichum candidum Dec 1,1 g/l,not specified,not specified,decolorization observed,Results illustrated in figure.,whole fungi
38°C,2 h,variable (5.0 - 9.0),Biodegradation+pathway+of+crystal+violet_.csv,Malachite Green,Exiguobacterium sp. MG2,50 mg/l,109 cells/ml,shaking,93.5%,Best growth and decolorization activity observed.,whole fungi
38°C,3 h,6.0,Biodegradation+pathway+of+crystal+violet_.csv,Malachite Green,Exiguobacterium sp. MG2,1000 mg/l,109 cells/ml,shaking,66% (approx.),Effect of MG concentration on decolorization.,whole fungi
38°C,3 h,6.0,Biodegradation+pathway+of+crystal+violet_.csv,Malachite Green,Exiguobacterium sp. MG2,1500 mg/l,109 cells/ml,shaking,76% (approx.),Effect of MG concentration on decolorization.,whole fungi
38°C,3 h,6.0,Biodegradation+pathway+of+crystal+violet_.csv,Malachite Green,Exiguobacterium sp. MG2,2000 mg/l,109 cells/ml,shaking,85% (approx.),Effect of MG concentration on decolorization.,whole fungi
38°C,2 h,variable (5.0 - 9.0),Biodegradation+pathway+of+crystal+violet_.csv,Malachite Green,Exiguobacterium sp. MG2,2500 mg/l,109 cells/ml,shaking,93.5%,Maintained stable decolorization activity.,whole fungi
38°C,90 min,7.0,Biodegradation+pathway+of+crystal+violet_.csv,Malachite Green,Exiguobacterium sp. MG2,40 mg/l,,shaking,90%,Cells induced into resting stage before experiment.,not applicable
30°C,24 h,,Biodegradation+of+crystal+violet+by+Pseudomonas+putida_.csv,crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),shaking,73 ± 3%,,whole fungi
30°C,24 h,,Biodegradation+of+crystal+violet+by+Pseudomonas+putida_.csv,crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),static,43 ± 2%,,whole fungi
45°C,8 h,7.0,Biodegradation+of+crystal+violet+by+Pseudomonas+putida_.csv,crystal violet,Rhodococcus pyridinivorans,0.6 mM,12% (v/v),shaking,91 ± 2%,optimized conditions,whole fungi
45°C,12 h,7.0,Biodegradation+of+crystal+violet+by+Pseudomonas+putida_.csv,crystal violet,Rhodococcus pyridinivorans,0.3 mM,12% (v/v),shaking,94 ± 1%,,whole fungi
45°C,12 h,,Biodegradation+of+crystal+violet+by+Pseudomonas+putida_.csv,crystal violet,Rhodococcus pyridinivorans,0.6 mM,12% (v/v),shaking,95 ± 1%,nearly complete decolorization,whole fungi
45°C,12 h,,Biodegradation+of+crystal+violet+by+Pseudomonas+putida_.csv,crystal violet,Rhodococcus pyridinivorans,0.6 mM,4% (v/v),shaking,67 ± 2%,,whole fungi
30°C,12 h,,Biodegradation+of+crystal+violet+by+Pseudomonas+putida_.csv,crystal violet,Rhodococcus pyridinivorans,2.4 mM,12% (v/v),shaking,8 ± 1%,,whole fungi
30°C,12 h,,Biodegradation+of+crystal+violet+by+Pseudomonas+putida_.csv,crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),shaking,39 ± 1% after 10 cycles,repeated dye addition,whole fungi
37°C,prolonged incubation,6.5,Preliminary+characterization+of+A.+orientlis+phytase+activity_.csv,Amido Black,Amycolatopsis orientalis SY6,10 µg/ml,,shaking,yes,"Decolorization visible from initial growth, accompanied by a color change.",mycelial
37°C,prolonged incubation,6.5,Preliminary+characterization+of+A.+orientlis+phytase+activity_.csv,Brilliant Green,Amycolatopsis orientalis SY6,10 µg/ml,,shaking,yes,Decolorized to colorless derivatives.,mycelial
37°C,,6.5,Preliminary+characterization+of+A.+orientlis+phytase+activity_.csv,Azo Dyes (combined),Amycolatopsis orientalis SY6,10 µg/ml each,,shaking,yes,Combination of dyes decolorized effectively.,mycelial
37°C,3 days,7.0,Preliminary+characterization+of+A.+orientlis+phytase+activity_.csv,Crystal Violet,Streptomyces lividans,10 µg/ml,,shaking,yes,Expressed with notable decolorization.,mycelial
37°C,,,Preliminary+characterization+of+A.+orientlis+phytase+activity_.csv,Amido Black,Rhodococcus erythropolis SQ1,10 µg/ml,,shaking,no,No significant activity as per control group.,mycelial
4°C,36 h,5.0,Dye+decolorization+and+detoxification+by+laccase+immobilized+on+porous+glass+beads_.csv,Reactive blue 19,Trametes versicolor,>12 µM,/C243 U/ml,none specified,high decolorization rate,decolorization mainly by enzymatic degradation,whole fungi
